	Cond1_m1	Cond1_m2	Cond1_m3	Cond2_m1	Cond2_m2	Cond2_m3	Cond3_m1	Cond3_m2	Cond3_m3	Cond4_m1	Cond4_m2	Cond4_m3	Cond5_m1	Cond5_m2	Cond6_m1	Cond6_m2	Cond7_m1	Cond7_m2	Cond8_m1	Cond8_m2
ENSMUSG00000000001.4	5709	5103	5516	6370	6342	4926	5319	4880	5177	4010	4698	4351	4725	4312	5710	5839	4943	3930	5639	4436
ENSMUSG00000000003.15	0	3	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ENSMUSG00000000028.14	1743	2087	1852	2842	2627	2142	1905	2631	2393	1682	2347	2370	2105	1482	2699	2237	2688	1928	2458	2123
ENSMUSG00000000031.15	8	14	16	8	2	0	15	21	3	4	13	2	27	9	3	3	16	21	4	1
ENSMUSG00000000037.16	245	298	197	257	290	150	165	163	122	184	267	264	100	141	231	360	165	164	126	122
ENSMUSG00000000049.11	2	1	1	0	0	1	0	6	1	1	0	2	0	0	0	1	3	0	1	0
ENSMUSG00000000056.7	911	1007	775	923	1268	658	663	1074	985	577	1107	725	666	674	657	850	682	565	638	547
ENSMUSG00000000058.6	358	299	533	492	572	478	363	210	436	300	237	366	369	261	444	365	266	280	393	257
ENSMUSG00000000078.6	4671	5520	4837	4476	4001	3865	3538	3291	3189	2963	2709	2964	3627	3429	4747	2743	3559	2382	3683	3343
ENSMUSG00000000085.16	1103	1188	1294	1302	1470	1415	1152	1123	931	1004	1219	1117	1205	916	1159	1215	1032	954	1222	998
ENSMUSG00000000088.6	12587	18428	15933	20771	22614	16291	19925	21644	19176	15776	22352	21688	16855	14511	24379	19878	19870	18196	21832	19115
ENSMUSG00000000093.6	7	48	2	32	98	7	5	42	25	40	47	15	22	53	40	20	4	26	14	42
ENSMUSG00000000094.12	1	29	4	8	3	3	8	8	5	3	2	22	1	1	7	7	0	5	0	5
ENSMUSG00000000103.12	0	0	1	1	0	6	0	0	1	2	0	0	4	5	0	1	1	1	0	3
ENSMUSG00000000120.6	2	3	0	2	1	1	3	0	5	0	0	2	1	1	0	2	0	2	0	0
ENSMUSG00000000125.5	0	1	0	1	1	8	2	1	3	1	2	3	1	5	2	0	0	1	2	0
ENSMUSG00000000126.11	0	5	3	4	0	2	1	0	4	0	0	9	1	2	0	26	0	0	1	0
ENSMUSG00000000127.14	394	531	503	487	432	253	363	451	518	369	583	309	347	422	460	351	522	393	499	351
ENSMUSG00000000131.15	1982	2337	2623	2730	3106	2601	2778	3089	2700	2132	3017	2753	2590	1970	3362	3017	2572	2268	2692	2670
ENSMUSG00000000134.17	682	850	593	647	616	755	577	652	560	494	491	465	540	540	699	652	443	439	412	389
ENSMUSG00000000142.15	9	9	6	4	11	20	19	16	14	9	2	17	10	25	2	11	14	1	5	2
ENSMUSG00000000148.17	427	396	505	576	423	437	423	280	353	291	488	382	325	293	481	397	394	297	416	303
ENSMUSG00000000149.10	1766	1779	1614	2353	2393	1422	1680	1896	1837	1461	1991	1933	1768	1164	1920	1860	1746	1595	1617	1643
ENSMUSG00000000154.16	267	384	324	393	264	410	279	287	393	261	177	217	371	209	347	248	201	189	275	249
ENSMUSG00000000157.15	2	4	1	1	1	3	0	0	6	1	1	2	1	2	2	2	0	2	0	1
ENSMUSG00000000159.15	1	5	0	1	2	3	0	1	3	4	1	1	1	2	0	1	0	2	0	0
ENSMUSG00000000167.14	118	112	81	192	152	87	130	74	80	151	99	73	94	77	97	69	115	70	123	80
ENSMUSG00000000168.9	1908	1996	1901	2379	2097	1479	2231	2246	2130	1751	2155	1877	2263	1813	2001	2345	2149	1822	2333	1883
ENSMUSG00000000171.4	11314	14734	13652	17784	17957	11837	15384	16756	16811	12417	15644	14887	13582	10079	18001	16424	17532	13026	20375	12155
ENSMUSG00000000182.9	1	2	0	0	0	1	0	0	3	1	0	1	1	1	2	1	1	0	1	0
ENSMUSG00000000183.6	1	6	6	3	1	2	1	0	4	0	0	3	4	1	2	0	1	0	0	0
ENSMUSG00000000184.12	20631	22375	20840	33546	34216	26885	21407	24364	20473	20693	26403	24192	19588	19677	29933	27431	18902	19645	22802	24456
ENSMUSG00000000194.13	679	732	650	678	749	733	494	520	656	554	504	445	586	539	514	648	615	554	304	307
ENSMUSG00000000197.7	5	11	7	6	5	11	2	5	11	5	2	5	5	5	5	5	1	4	4	2
ENSMUSG00000000202.9	2	0	1	2	0	2	2	1	3	0	1	2	1	2	7	2	0	3	0	1
ENSMUSG00000000204.15	4	7	2	2	2	3	2	21	3	1	1	6	4	2	1	10	0	16	1	0
ENSMUSG00000000214.11	0	3	0	0	0	2	1	0	4	1	11	2	4	14	0	0	1	0	3	1
ENSMUSG00000000215.10	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000000216.8	0	6	5	1	2	2	3	1	4	1	0	3	1	0	0	0	0	1	1	0
ENSMUSG00000000223.13	2	13	12	5	3	10	3	3	3	7	18	2	12	19	63	7	11	5	14	19
ENSMUSG00000000244.17	6584	9365	7946	9382	9353	6014	9173	8724	7802	6613	9044	7407	7638	6955	9858	8539	9468	7759	9295	6872
ENSMUSG00000000247.11	42	2	18	2	1	5	24	1	16	2	3	0	12	1	9	4	18	2	1	0
ENSMUSG00000000248.16	4	1	4	0	2	2	2	0	5	3	1	1	0	2	4	7	0	1	1	0
ENSMUSG00000000253.12	2862	3110	2812	3266	2784	1779	2892	3215	2562	1642	2267	2151	2773	2077	3386	2821	3698	2463	2342	2164
ENSMUSG00000000263.15	1	2	2	3	3	2	1	1	4	0	0	0	2	0	1	1	0	0	0	2
ENSMUSG00000000266.11	177	102	172	134	43	97	90	49	64	124	79	94	91	112	50	160	105	87	50	89
ENSMUSG00000000275.16	2166	2926	2570	3357	3051	2574	3272	2857	2486	2463	2749	2729	2755	2670	3387	2787	2807	2484	2361	3036
ENSMUSG00000000276.11	691	431	538	549	617	365	592	458	379	441	548	372	423	467	494	534	389	433	468	415
ENSMUSG00000000278.10	1400	1465	1454	1318	824	1027	1193	1293	1159	886	738	873	1213	1080	929	956	1451	747	1071	763
ENSMUSG00000000282.12	1080	1401	1030	1109	1256	1177	1142	1205	1115	1282	1148	1258	1161	1161	1324	1062	843	1010	1061	1103
ENSMUSG00000000290.13	2833	2354	2849	312	257	229	2277	1866	2501	800	823	645	2505	1711	251	141	2282	1625	1043	709
ENSMUSG00000000295.12	3536	5291	4753	4790	4847	4957	5565	5249	5802	4907	6246	5989	4346	3865	5851	4845	4813	4495	6591	4878
ENSMUSG00000000296.7	27	41	64	37	55	6	55	67	67	50	23	119	50	37	78	26	119	34	81	5
ENSMUSG00000000301.16	354	658	676	609	729	681	714	1032	1027	643	1010	1005	527	408	1095	528	937	709	806	704
ENSMUSG00000000303.12	4	1	0	3	1	3	5	1	5	5	2	6	1	1	2	0	2	1	0	3
ENSMUSG00000000305.12	5	8	2	8	4	5	14	1	21	1	2	5	2	8	4	3	12	4	2	5
ENSMUSG00000000308.14	21	4	19	16	23	14	4	1	7	6	0	5	26	34	20	3	3	6	19	12
ENSMUSG00000000317.11	31	23	45	6	72	26	47	53	19	80	43	30	24	30	45	5	16	36	26	4
ENSMUSG00000000318.16	133	138	199	14	7	48	154	49	100	49	56	37	38	57	90	20	93	61	113	130
ENSMUSG00000000320.10	56	219	125	45	82	46	185	172	249	77	76	63	86	77	48	28	155	154	55	49
ENSMUSG00000000325.15	61	68	31	54	61	130	72	77	67	75	102	109	41	99	127	102	109	33	49	34
ENSMUSG00000000326.12	5266	6157	5120	6649	6435	5060	5370	5675	6104	4927	6187	5487	5418	4421	6692	5538	5664	4841	5947	5449
ENSMUSG00000000339.14	1021	1402	1370	1685	1950	1144	1438	1492	1655	856	1323	1650	1247	676	1686	1336	1692	967	2246	1045
ENSMUSG00000000340.10	1031	1108	1015	1330	1489	978	1042	898	828	1195	1141	988	887	1173	1275	1366	906	952	1227	1006
ENSMUSG00000000346.8	19910	21294	19908	23921	22505	19027	19794	18869	20265	14934	17321	17722	20534	15855	21161	19924	20231	14432	23360	15946
ENSMUSG00000000355.13	3851	4623	4479	5458	4930	4727	5320	4728	4905	4375	4841	4251	4428	3788	5080	4685	4931	3851	5526	4487
ENSMUSG00000000359.3	1	1	1	2	0	2	1	0	2	0	0	3	4	3	3	2	0	0	0	0
ENSMUSG00000000365.8	99	87	22	54	142	54	118	25	107	100	58	53	27	111	74	33	71	32	50	71
ENSMUSG00000000374.7	846	891	839	1004	843	963	678	833	598	578	702	631	796	725	701	675	618	631	577	774
ENSMUSG00000000378.15	3117	2612	3175	3372	3401	2984	2291	2139	2956	1993	2257	2160	2779	1822	3046	2561	2502	1728	2141	1683
